barcode,sku,product_name,size,price_tag,cost_price,quantity,import_date,gender,season,category,brand
1.9873E+11,BQ4639-410,NIKE OFFCOURT SLIDE,46,42,21.84,1,4/24/2026,MALE,SS26,FOOTWEAR,NIKE
1.9873E+11,BQ4639-410,NIKE OFFCOURT SLIDE,44,42,21.84,2,4/24/2026,MALE,SS26,FOOTWEAR,NIKE
1.9873E+11,BQ4639-410,NIKE OFFCOURT SLIDE,45,42,21.84,2,4/24/2026,MALE,SS26,FOOTWEAR,NIKE
4.06916E+12,629587-61,PUMA T7 ALWAYS ON Track Jacket DK,XL,81,41.25,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629587-61,PUMA T7 ALWAYS ON Track Jacket DK,L,81,41.25,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629587-61,PUMA T7 ALWAYS ON Track Jacket DK,M,81,41.25,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629588-61,PUMA T7 ALWAYS ON Track Pants DK cl,XL,70,35.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629588-61,PUMA T7 ALWAYS ON Track Pants DK cl,L,70,35.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629588-61,PUMA T7 ALWAYS ON Track Pants DK cl,M,70,35.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-01,PUMA Suit DK,XL,92,46.75,2,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-01,PUMA Suit DK,L,92,46.75,2,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-01,PUMA Suit DK,M,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-01,PUMA Suit DK,XXL,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-61,PUMA Suit DK,XL,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-61,PUMA Suit DK,L,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-61,PUMA Suit DK,M,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,634621-13,PUMA T7 Short Sleeve Jacket Full Zip,S,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-13,PUMA T7 Short Sleeve Jacket Full Zip,M,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-01,PUMA T7 Short Sleeve Jacket Full Zip,S,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-01,PUMA T7 Short Sleeve Jacket Full Zip,M,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,629587-61,PUMA T7 ALWAYS ON Track Jacket DK,XL,81,41.25,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629587-61,PUMA T7 ALWAYS ON Track Jacket DK,L,81,41.25,2,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629587-61,PUMA T7 ALWAYS ON Track Jacket DK,M,81,41.25,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629588-61,PUMA T7 ALWAYS ON Track Pants DK cl,XL,70,35.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629588-61,PUMA T7 ALWAYS ON Track Pants DK cl,L,70,35.75,2,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,629588-61,PUMA T7 ALWAYS ON Track Pants DK cl,M,70,35.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-01,PUMA Suit DK,S,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-01,PUMA Suit DK,XL,92,46.75,2,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-01,PUMA Suit DK,L,92,46.75,2,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-01,PUMA Suit DK,M,92,46.75,2,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-01,PUMA Suit DK,XXL,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-61,PUMA Suit DK,XL,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-61,PUMA Suit DK,L,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,691771-61,PUMA Suit DK,M,92,46.75,1,4/22/2026,MALE,SS26,APPAREL,PUMA
4.06916E+12,634621-13,PUMA T7 Short Sleeve Jacket Full Zip,S,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-13,PUMA T7 Short Sleeve Jacket Full Zip,XS,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-13,PUMA T7 Short Sleeve Jacket Full Zip,L,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-13,PUMA T7 Short Sleeve Jacket Full Zip,M,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-01,PUMA T7 Short Sleeve Jacket Full Zip,S,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-01,PUMA T7 Short Sleeve Jacket Full Zip,XS,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-01,PUMA T7 Short Sleeve Jacket Full Zip,L,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
4.06916E+12,634621-01,PUMA T7 Short Sleeve Jacket Full Zip,M,70,35.75,1,4/22/2026,FEMALE,SS26,APPAREL,PUMA
